amazon-order-id	purchase-date	order-status	product-name	quantity-purchased	item-price	item-tax	shipping-price	shipping-tax	sku	asin	buyer-name	ship-country	currency	tracking-number
111-4893083-6081321	2026-02-02T11:18:17+00:00	Shipped	Bamboo Cutting Board Set (3 Pack)	2	$57.98	$4.64	$0.00	$0.00	SKU-1111	B0A1111	Maria Jones	US	USD	AMZ543811505
111-8250764-8990005	2026-01-16T20:04:17+00:00	Cancelled	Portable Phone Charger 10000mAh	1	$27.50	$2.20	$0.00	$0.00	SKU-7777	B0A7777	James Clark	CA	USD	AMZ385284785
111-8749784-1875546	2025-12-10T05:47:17+00:00	Pending	Yoga Mat with Carrying Strap	1	$35.00	$2.80	$3.99	$0.00	SKU-6666	B0A6666	Michael Williams	UK	USD	AMZ542743338
111-1392837-3713691	2025-12-24T08:06:17+00:00	Shipped	Organic Cotton Tote Bag - 5 Pack	2	$44.00	$3.52	$0.00	$0.00	SKU-4444	B0A4444	James Taylor	US	USD	AMZ669388772
111-4888705-3986523	2025-12-03T21:11:17+00:00	Cancelled	Yoga Mat with Carrying Strap	1	$35.00	$2.80	$3.99	$0.00	SKU-6666	B0A6666	David Smith	FR	USD	AMZ519933892
111-7928105-3990909	2025-12-08T06:27:17+00:00	Shipped	Stainless Steel Water Bottle 750ml	3	$59.97	$4.80	$3.99	$0.00	SKU-3333	B0A3333	Anna Jones	US	USD	AMZ666142793
111-8805557-3524855	2026-01-21T21:26:17+00:00	Shipped	Bamboo Toothbrush Set (8 Pack)	1	$12.99	$1.04	$0.00	$0.00	SKU-8888	B0A8888	Maria Miller	FR	USD	AMZ792208540
111-3723793-9585166	2025-11-19T22:09:17+00:00	Pending	Bamboo Toothbrush Set (8 Pack)	1	$12.99	$1.04	$0.00	$0.00	SKU-8888	B0A8888	Anna Wilson	CA	USD	AMZ640001050
111-1421463-1960322	2026-01-31T13:10:17+00:00	Shipped	Organic Cotton Tote Bag - 5 Pack	1	$22.00	$1.76	$0.00	$0.00	SKU-4444	B0A4444	Emma Taylor	US	USD	AMZ729417569
111-9835023-2615961	2025-12-09T14:52:17+00:00	Shipped	Organic Cotton Tote Bag - 5 Pack	1	$22.00	$1.76	$0.00	$0.00	SKU-4444	B0A4444	Anna Taylor	UK	USD	AMZ278823839
111-3995511-9549728	2025-11-21T05:36:17+00:00	Shipped	Reusable Beeswax Food Wraps	1	$16.50	$1.32	$0.00	$0.00	SKU-9999	B0A9999	Anna Miller	US	USD	AMZ786708012
111-4630308-1013830	2026-01-18T23:54:17+00:00	Pending	Reusable Beeswax Food Wraps	1	$16.50	$1.32	$3.99	$0.00	SKU-9999	B0A9999	Michael Clark	US	USD	AMZ999959511
111-1783336-6741465	2025-12-22T15:06:17+00:00	Shipped	Silicone Kitchen Utensil Set	3	$74.97	$6.00	$3.99	$0.00	SKU-5555	B0A5555	Anna Wilson	US	USD	AMZ406769407
